,year,site,nest,ring,mate_ring,chick1,chick2,chick3,field_sex_focal,mol_sex_focal,captured_focalyear_focal,field_sex_mate,mol_sex_mate,captured_focalyear_mate,comments_field,comments_stdfile,code,nest.id,year.cr,year.mr,first.res,last.res,first.cap.r,last.cap.r,fate,northing,easting,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,times.adult.not.seen,total.brood.res,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,estimated.hd,layingdate,check.estld,first.d.seen,last.d.seen
297,2013,R,217,CA3922,CA3901,CA3923,CA3920,NA,M,NA,yes,F,NA,yes,male is uncertain,NA,GX.MX|BX.LX,2013-R-217,2013,2013,NA,NA,05/11/2013,05/11/2013,HATCH,75941,61924,2,2,10/10/2013,18/10/2013,07/11/2013,0,2,07/11/2013,09/11/2013,NA,NA,NA,07/11/2013,09/11/2013,09/11/2013,NA,07/11/2013,6.4,19.2,5.73,05/11/2013,6.6,19.4,6.09,NA,NA,NA,NA,19.4,05/11/2013,0.533333333,05/11/2013,10/10/2013,04/11/2013,10/10/2013,0.466666667,05/11/2013,09/11/2013
298,2013,R,219,CA3902,CA3775,NA,NA,NA,M,NA,yes,F,NA,no,NA,NA,GX.MX|LX.BX,2013-R-219,2013,2013,NA,NA,22/10/2013,22/10/2013,Abandoned,77177,60984,0,2,18/10/2013,19/10/2013,28/11/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/10/2013,NA,22/10/2013,22/10/2013
299,2013,R,220,CA3910,CA3725,NA,NA,NA,M,NA,yes,F,NA,yes,NA,NA,GX.MX|WX.BX,2013-R-220,2013,2013,29/10/2013,29/10/2013,28/10/2013,28/10/2013,DISAPPEARED,77397,60791,0,2,11/10/2013,19/10/2013,16/11/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/10/2013,NA,28/10/2013,29/10/2013
300,2013,R,224,CA3143,CA3909,CA3924,NA,NA,M,NA,yes,F,NA,yes,NA,NA,MX.GX|RX.BX,2013-R-224,2013,2010,NA,NA,08/11/2013,08/11/2013,HATCH,75626,61919,1,3,17/10/2013,27/10/2013,09/11/2013,0,1,08/11/2013,08/11/2013,NA,NA,NA,08/11/2013,08/11/2013,08/11/2013,NA,08/11/2013,6.7,20.6,6.99,NA,NA,NA,NA,NA,NA,NA,NA,20.6,08/11/2013,3.2,08/11/2013,10/10/2013,04/11/2013,17/10/2013,-6.2,08/11/2013,08/11/2013
301,2013,R,226,CA1176,CA1073,CA3916,CA3917,CA3862,M,M,yes,F,F,no,NA,NA,MX.RX|LX.RX,2013-R-226,2008,2008,06/11/2013,14/11/2013,05/11/2013,05/11/2013,HATCH,75909,61932,3,3,19/10/2013,30/10/2013,05/11/2013,3,7,06/11/2013,09/11/2013,10/11/2013,09/11/2013,10/11/2013,06/11/2013,17/11/2013,17/11/2013,NA,04/11/2013,6.2,20.6,7.07,05/11/2013,6.7,19,6.54,04/11/2013,6.5,20,7.35,20.6,04/11/2013,3.2,04/11/2013,06/10/2013,31/10/2013,19/10/2013,-12.2,05/11/2013,14/11/2013
302,2013,R,228,CA3751,CA1637,CA3918,CA3919,CA3921,M,NA,no,F,F,no,NA,NA,OX.MX|RX.BX,2013-R-228,2012,2012,25/09/2013,05/11/2013,NA,NA,HATCH,76602,61606,3,3,25/10/2013,05/11/2013,05/11/2013,0,2,06/11/2013,07/11/2013,NA,NA,NA,06/11/2013,07/11/2013,07/11/2013,NA,05/11/2013,6.7,20,5.77,05/11/2013,6.5,19.1,6.28,05/11/2013,6.3,18.7,6.13,20,05/11/2013,1.866666667,05/11/2013,09/10/2013,03/11/2013,25/10/2013,-15.86666667,25/09/2013,07/11/2013
303,2013,R,4,CA3466,CA3431,CA3908,NA,NA,M,M,no,F,F,no,NA,NA,MX.YX|YX.OX,2013-R-4,2010,2010,04/10/2013,19/11/2013,NA,NA,HATCH,76268,61805,1,3,30/09/2013,08/10/2013,26/10/2013,0,4,26/10/2013,03/11/2013,NA,NA,NA,26/10/2013,03/11/2013,31/10/2013,02/11/2013,26/10/2013,6.5,20,6.2,NA,NA,NA,NA,NA,NA,NA,NA,20,26/10/2013,1.866666667,26/10/2013,29/09/2013,24/10/2013,30/09/2013,-0.866666667,04/10/2013,19/11/2013
304,2013,R,5,CA2783,CA3041,NA,NA,NA,M,NA,yes,F,NA,no,NA,NA,WX.MX|GX.BX,2013-R-5,2013,2013,17/09/2013,17/09/2013,09/10/2013,09/10/2013,DISAPPEARED,78211,60665,2,2,29/09/2013,09/10/2013,21/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/09/2013,NA,17/09/2013,09/10/2013
305,2013,S,-1,CA1052,CA2756,CA3700,CA3699,NA,M,M,no,F,NA,no,NA,NA,MX.RX|BX.BX,2013-S--1,2007,2007,13/09/2013,04/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,14/09/2013,06/10/2013,02/10/2013,NA,NA,13/09/2013,06/10/2013,25/09/2013,02/10/2013,14/09/2013,7.6,21.2,NA,14/09/2013,7.45,21.5,NA,NA,NA,NA,NA,21.5,14/09/2013,5.2,14/09/2013,14/08/2013,08/09/2013,14/08/2013,NA,13/09/2013,04/11/2013
306,2013,S,-10,CA3761,CA3061,CA3839,NA,NA,M,NA,yes,F,F,no,NA,NA,RX.MX|BX.YX,2013-S--10,2012,2012,19/09/2013,27/10/2013,27/10/2013,27/10/2013,NA,NA,NA,NA,NA,NA,NA,NA,0,2,27/10/2013,28/10/2013,NA,NA,NA,27/10/2013,28/10/2013,28/10/2013,NA,27/10/2013,8.6,21.9,6.06,NA,NA,NA,NA,NA,NA,NA,NA,21.9,27/10/2013,6.088888889,27/10/2013,25/09/2013,20/10/2013,25/09/2013,NA,19/09/2013,28/10/2013
307,2013,S,-103,CA3701,CA2614,CA3855,CA4091,NA,M,NA,no,F,F,yes,"Numeration starts in -103, broods -101 and -102 don't exist",NA,MX.YX|WX.YX,2013-S--103,2010,2010,08/10/2013,26/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,31/10/2013,30/11/2013,NA,NA,NA,31/10/2013,30/11/2013,30/11/2013,NA,31/10/2013,8,21.2,4.92,31/10/2013,7,19.8,5.51,NA,NA,NA,NA,21.2,31/10/2013,4.533333333,31/10/2013,01/10/2013,26/10/2013,01/10/2013,NA,08/10/2013,30/11/2013
308,2013,S,-104,CA3017,CA1644,CA4082,CA4081,NA,M,M,yes,F,F,no,NA,NA,MX.LX|YX.OX,2013-S--104,2013,2009,19/11/2013,19/11/2013,10/11/2013,10/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,2,5,10/11/2013,30/11/2013,NA,NA,NA,10/11/2013,30/11/2013,30/11/2013,NA,10/11/2013,7.3,19.9,7.05,10/11/2013,8.2,21.4,6.49,NA,NA,NA,NA,21.4,10/11/2013,4.977777778,10/11/2013,11/10/2013,05/11/2013,11/10/2013,NA,10/11/2013,30/11/2013
309,2013,S,-11,CA3848,CA3016,CA3840,CA4093,NA,M,NA,yes,F,NA,no,NA,NA,MX.GX|LX.LX,2013-S--11,2013,2013,NA,NA,29/10/2013,29/10/2013,NA,NA,NA,NA,NA,NA,NA,NA,1,6,26/10/2013,23/11/2013,NA,NA,NA,26/10/2013,23/11/2013,02/11/2013,23/11/2013,27/10/2013,7.2,20.8,5.49,29/10/2013,7.9,22.1,5.62,NA,NA,NA,NA,22.1,29/10/2013,6.533333333,29/10/2013,27/09/2013,22/10/2013,27/09/2013,NA,26/10/2013,23/11/2013
310,2013,S,-12,CA3755,CA1067,CA3833,NA,NA,M,NA,yes,F,F,no,NA,NA,OX.MX|RX.WX,2013-S--12,2012,2012,13/09/2013,12/11/2013,23/10/2013,23/10/2013,NA,NA,NA,NA,NA,NA,NA,NA,0,2,23/10/2013,27/10/2013,NA,NA,NA,23/10/2013,27/10/2013,27/10/2013,NA,23/10/2013,7.5,20.4,5.38,NA,NA,NA,NA,NA,NA,NA,NA,20.4,23/10/2013,2.755555556,23/10/2013,25/09/2013,20/10/2013,25/09/2013,NA,13/09/2013,12/11/2013
311,2013,S,-13,CA3854,CA1662,CA3852,CA3853,NA,M,NA,yes,F,NA,yes,NA,NA,MX.GX|RX.LX,2013-S--13,2013,2013,09/11/2013,09/11/2013,29/10/2013,29/10/2013,NA,NA,NA,NA,NA,NA,NA,NA,0,2,29/10/2013,03/11/2013,NA,NA,NA,29/10/2013,03/11/2013,03/11/2013,NA,29/10/2013,8.3,21.3,6.21,29/10/2013,8.3,20.7,5.8,NA,NA,NA,NA,21.3,29/10/2013,4.755555556,29/10/2013,29/09/2013,24/10/2013,29/09/2013,NA,29/10/2013,09/11/2013
312,2013,S,-14,CA3065,CA1104,CA3858,NA,NA,M,M,no,F,F,no,NA,NA,MX.WX|GX.WX,2013-S--14,2010,2010,12/09/2013,11/10/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,02/11/2013,30/11/2013,NA,NA,NA,02/11/2013,30/11/2013,13/11/2013,30/11/2013,02/11/2013,7.1,20.2,6.94,NA,NA,NA,NA,NA,NA,NA,NA,20.2,02/11/2013,2.311111111,02/11/2013,05/10/2013,30/10/2013,05/10/2013,NA,12/09/2013,30/11/2013
313,2013,S,-16,CA3869,CA2727,CA3868,NA,NA,M,NA,yes,F,F,no,NA,NA,MX.GX|BX.YX,2013-S--16,2013,2013,26/11/2013,26/11/2013,11/11/2013,11/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,1,7,09/11/2013,26/11/2013,30/11/2013,NA,NA,09/11/2013,30/11/2013,30/11/2013,NA,11/11/2013,8.4,22.2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,22.2,11/11/2013,6.755555556,11/11/2013,10/10/2013,04/11/2013,10/10/2013,NA,09/11/2013,26/11/2013
314,2013,S,-17,CA3036,CA3146,CA3870,NA,NA,M,M,no,F,NA,no,NA,NA,MX.BX|RX.LX,2013-S--17,2012,2009,20/09/2013,12/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,12/11/2013,10/12/2013,NA,NA,NA,12/11/2013,10/12/2013,10/12/2013,NA,12/11/2013,7.4,21.4,6.56,NA,NA,NA,NA,NA,NA,NA,NA,21.4,12/11/2013,4.977777778,12/11/2013,13/10/2013,07/11/2013,13/10/2013,NA,20/09/2013,10/12/2013
315,2013,S,-18,CA3605,CA1068,CA3872,CA3873,CA3874,M,M,no,F,F,yes,NA,NA,OX.MX|BX.GX,2013-S--18,2010,2010,30/09/2013,13/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13/11/2013,19/11/2013,NA,NA,NA,13/11/2013,19/11/2013,19/11/2013,NA,13/11/2013,7.5,20.6,5.6,13/11/2013,6.4,19.2,5.74,13/11/2013,6.7,19.3,5.5,20.6,13/11/2013,3.2,13/11/2013,15/10/2013,09/11/2013,15/10/2013,NA,30/09/2013,19/11/2013
316,2013,S,-19,CA3879,CA3877,CA3878,NA,NA,M,NA,yes,F,NA,yes,NA,NA,MX.GX|WX.OX,2013-S--19,2013,2013,NA,NA,19/11/2013,19/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13/11/2013,23/11/2013,NA,NA,NA,13/11/2013,23/11/2013,13/11/2013,23/11/2013,19/11/2013,8,22,7.11,NA,NA,NA,NA,NA,NA,NA,NA,22,19/11/2013,6.311111111,19/11/2013,18/10/2013,12/11/2013,18/10/2013,NA,13/11/2013,23/11/2013
317,2013,S,-2,CA3666,CA3668,CA3801,NA,NA,M,NA,no,F,NA,no,NA,NA,OX.MX|YX.RX,2013-S--2,2012,2012,17/09/2013,12/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,18/09/2013,30/11/2013,03/10/2013,06/10/2013,06/10/2013,18/09/2013,30/11/2013,30/11/2013,NA,18/09/2013,7.5,21.2,6.57,NA,NA,NA,NA,NA,NA,NA,NA,21.2,18/09/2013,4.533333333,18/09/2013,19/08/2013,13/09/2013,19/08/2013,NA,17/09/2013,30/11/2013
318,2013,S,-4,CA1037,CA1137,CA3806,CA3808,NA,M,M,no,F,F,yes,NA,NA,BX.MX|GX.WX,2013-S--4,2007,2007,17/09/2013,03/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,25/09/2013,27/10/2013,03/10/2013,NA,NA,25/09/2013,27/10/2013,25/09/2013,03/10/2013,25/09/2013,7.4,22,6.28,25/09/2013,7.5,20.9,6.8,NA,NA,NA,NA,22,25/09/2013,6.311111111,25/09/2013,24/08/2013,18/09/2013,24/08/2013,NA,17/09/2013,03/11/2013
319,2013,S,-5,CA1630,XX.XX|XX.XX,CA2800,NA,NA,M,M,no,F,NA,no,NA,NA,BX.MX|BX.RX,2013-S--5,2009,2009,12/09/2013,13/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,27/09/2013,17/10/2013,17/10/2013,NA,NA,27/09/2013,17/10/2013,27/09/2013,17/10/2013,29/09/2013,9,25,10.15,NA,NA,NA,NA,NA,NA,NA,NA,25,29/09/2013,12.97777778,29/09/2013,22/08/2013,16/09/2013,22/08/2013,NA,12/09/2013,13/11/2013
320,2013,S,-8,CA3027,CA2645,CA3828,NA,NA,M,M,no,F,F,no,one chick was not captured,NA,MX.GX|GX.GX,2013-S--8,2012,2009,11/10/2013,19/11/2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,19/10/2013,02/11/2013,NA,NA,NA,19/10/2013,02/11/2013,19/10/2013,02/11/2013,19/10/2013,8.8,21.5,6.32,NA,NA,NA,NA,NA,NA,NA,NA,21.5,19/10/2013,5.2,19/10/2013,18/09/2013,13/10/2013,18/09/2013,NA,11/10/2013,19/11/2013
321,2013,S,-9,CA4099,CA2725,CA4098,NA,NA,M,NA,yes,F,F,no,NA,NA,WX.MX|BX.OX,2013-S--9,2013,2013,23/10/2013,23/10/2013,21/10/2013,21/10/2013,NA,NA,NA,NA,NA,NA,NA,NA,1,5,21/10/2013,26/11/2013,NA,NA,NA,21/10/2013,26/11/2013,26/11/2013,NA,21/10/2013,8.9,21.9,4.56,NA,NA,NA,NA,NA,NA,NA,NA,21.9,21/10/2013,6.088888889,21/10/2013,19/09/2013,14/10/2013,19/09/2013,NA,21/10/2013,26/11/2013
322,2013,S,102,CA3753,CA3665,CA3830,NA,NA,M,NA,no,F,NA,no,NA,NA,OX.MX|OX.RX,2013-S-102,2012,2012,15/09/2013,22/10/2013,NA,NA,HATCH,75975,60737,1,2,NA,23/09/2013,18/10/2013,0,3,22/10/2013,19/11/2013,NA,NA,NA,22/10/2013,19/11/2013,22/10/2013,09/11/2013,22/10/2013,8.5,21.9,5.51,NA,NA,NA,NA,NA,NA,NA,NA,21.9,22/10/2013,6.088888889,22/10/2013,20/09/2013,15/10/2013,20/09/2013,NA,15/09/2013,19/11/2013
323,2013,S,103,CA3174,CA3754,CA3804,CA3805,NA,M,NA,yes,F,NA,yes,NA,NA,RX.MX|OX.GX,2013-S-103,2012,2012,21/09/2013,19/11/2013,24/09/2013,24/09/2013,HATCH,75602,61134,2,2,30/08/2013,23/09/2013,24/09/2013,0,3,24/09/2013,02/10/2013,02/10/2013,NA,NA,24/09/2013,02/10/2013,25/09/2013,02/10/2013,24/09/2013,7.2,20.1,6.62,24/09/2013,6.8,20.2,6.66,NA,NA,NA,NA,20.2,24/09/2013,2.311111111,24/09/2013,27/08/2013,21/09/2013,30/08/2013,-2.311111111,21/09/2013,19/11/2013
324,2013,S,104,CA3658,NA,NA,NA,NA,M,F,no,F,NA,no,NA,NA,OX.MX|OX.WX,2013-S-104,2010,2010,NA,NA,NA,NA,DISAPPEARED,75734,61151,0,3,24/09/2013,24/09/2013,01/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24/09/2013,NA,NA,NA
325,2013,S,105,CA3760,CA3793,CA3831,NA,NA,M,NA,no,F,NA,no,NA,NA,RX.MX|BX.RX,2013-S-105,2012,2012,22/09/2013,19/11/2013,NA,NA,HATCH,76040,60938,1,2,16/09/2013,24/09/2013,17/10/2013,2,15,22/10/2013,30/11/2013,NA,NA,NA,22/10/2013,30/11/2013,30/11/2013,NA,22/10/2013,8.7,21.6,6.11,NA,NA,NA,NA,NA,NA,NA,NA,21.6,22/10/2013,5.422222222,22/10/2013,21/09/2013,16/10/2013,16/09/2013,5.577777778,22/09/2013,30/11/2013
326,2013,S,110,CA3084,NA,NA,NA,NA,M,M,no,F,NA,no,NA,NA,MX.WX|RX.BX,2013-S-110,2010,2010,24/09/2013,19/11/2013,NA,NA,DISAPPEARED,75752,61290,0,3,22/09/2013,27/09/2013,03/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/09/2013,NA,24/09/2013,19/11/2013
327,2013,S,111,CA3445,CA2762,NA,NA,NA,M,M,no,F,NA,no,NA,NA,MX.YX|OX.YX,2013-S-111,2010,2010,17/09/2013,01/10/2013,NA,NA,Unknown,75398,61409,NA,3,26/09/2013,04/10/2013,22/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/2013,NA,17/09/2013,01/10/2013
328,2013,S,114,CA3145,NA,NA,NA,NA,M,NA,no,F,NA,no,NA,NA,WX.MX|BX.LX,2013-S-114,2010,2010,17/09/2013,11/10/2013,NA,NA,DISAPPEARED,75870,60796,0,3,05/10/2013,08/10/2013,18/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05/10/2013,NA,17/09/2013,11/10/2013
329,2013,S,116,CA3826,CA3428,CA4094,CA4092,CA4089,M,NA,yes,F,F,yes,NA,NA,MX.GX|BX.WX,2013-S-116,2013,2013,07/11/2013,20/11/2013,17/10/2013,17/10/2013,HATCH,75446,61702,3,3,09/10/2013,17/10/2013,30/10/2013,2,6,02/11/2013,08/11/2013,11/11/2013,08/11/2013,11/11/2013,02/11/2013,20/11/2013,20/11/2013,NA,29/10/2013,6.9,19.8,6.2,29/10/2013,7.5,19.9,6.51,31/10/2013,7.1,18.5,6.5,19.9,29/10/2013,1.644444444,29/10/2013,02/10/2013,27/10/2013,09/10/2013,-6.644444444,17/10/2013,20/11/2013
330,2013,S,118,CA3612,CA3023,CA4090,CA4071,NA,M,M,no,F,F,no,NA,NA,OX.MX|BX.WX,2013-S-118,2010,2010,31/10/2013,26/11/2013,NA,NA,HATCH,75829,61048,2,3,13/10/2013,21/10/2013,31/10/2013,1,7,03/11/2013,26/11/2013,NA,NA,NA,03/11/2013,26/11/2013,26/11/2013,NA,31/10/2013,6.7,19.4,6.56,20/11/2013,13,27.2,8.94,NA,NA,NA,NA,27.2,20/11/2013,17.86666667,20/11/2013,08/10/2013,02/11/2013,13/10/2013,-4.866666667,31/10/2013,26/11/2013
331,2013,S,119,CA3662,MX.XX|BX.XX,NA,NA,NA,M,NA,no,F,NA,no,Couldn't capture  this female,NA,OX.MX|LX.BX,2013-S-119,2012,2012,02/10/2013,03/11/2013,NA,NA,Unknown,75650,61186,NA,3,11/10/2013,22/10/2013,31/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/10/2013,NA,02/10/2013,03/11/2013
332,2013,S,12,CA3010,OX.MX|BX.OX,NA,NA,NA,M,M,yes,F,NA,no,"male's code belongs to a female, but female was captured so male's CR is wrong","Sexes inverted in the field, only one CA3010 was captured, sexes corrected with molsex (only male CA3010 sex available) (CCI 2015), Code observed in field OX.MX|BX.OX, sexes inverted in the field, only one CA3010 was captured, sexes corrected with molsex (only male CA3010 sex available) (CCI 2015)",MX.BX|OX.GX,2013-S-12,2013,2009,10/11/2013,10/11/2013,20/09/2013,20/09/2013,DISAPPEARED,75751,61245,0,2,15/09/2013,17/09/2013,03/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15/09/2013,NA,20/09/2013,10/11/2013
333,2013,S,120,CA4083,CA4087,CA4086,CA4085,CA4084,M,NA,yes,F,NA,yes,NA,NA,WX.MX|OX.LX,2013-S-120,2013,2013,10/11/2013,26/11/2013,09/11/2013,09/11/2013,HATCH,75854,61718,3,3,NA,08/11/2013,08/11/2013,3,10,09/11/2013,09/12/2013,NA,NA,NA,08/11/2013,09/12/2013,09/12/2013,NA,08/11/2013,6.2,20,6.81,08/11/2013,6.5,19.2,6.52,08/11/2013,6.5,20.3,6.58,20.3,08/11/2013,2.533333333,08/11/2013,11/10/2013,05/11/2013,11/10/2013,NA,09/11/2013,09/12/2013
334,2013,S,121,CA4077,CA2715,CA4076,NA,NA,M,NA,yes,F,F,yes,NA,NA,WX.MX|WX.GX,2013-S-121,2013,2013,NA,NA,13/11/2013,13/11/2013,HATCH,77318,60209,1,1,NA,13/11/2013,14/11/2013,0,3,21/11/2013,30/11/2013,NA,NA,NA,21/11/2013,30/11/2013,21/11/2013,26/11/2013,14/11/2013,7.2,19.9,6.99,NA,NA,NA,NA,NA,NA,NA,NA,19.9,14/11/2013,1.644444444,14/11/2013,18/10/2013,12/11/2013,18/10/2013,NA,13/11/2013,30/11/2013
335,2013,S,13,CA3036,CA3146,NA,NA,NA,M,M,no,F,NA,no,NA,NA,MX.BX|RX.LX,2013-S-13,2012,2009,20/09/2013,12/11/2013,NA,NA,DISAPPEARED,76612,60429,0,3,12/09/2013,17/09/2013,09/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/09/2013,NA,20/09/2013,12/11/2013
336,2013,S,15,CA3423,CA2738,CA3819,NA,NA,M,M,no,F,NA,no,NA,NA,MX.YX|GX.YX,2013-S-15,2010,2010,27/10/2013,28/10/2013,NA,NA,HATCH,75659,62088,1,3,13/09/2013,18/09/2013,10/10/2013,0,1,11/10/2013,11/10/2013,NA,NA,NA,11/10/2013,11/10/2013,11/10/2013,NA,11/10/2013,7.7,20,6.25,NA,NA,NA,NA,NA,NA,NA,NA,20,11/10/2013,1.866666667,11/10/2013,14/09/2013,09/10/2013,13/09/2013,1.133333333,11/10/2013,28/10/2013
337,2013,S,16,CA1624,CA1092,CA3821,CA3823,NA,M,M,no,F,F,no,NA,NA,BX.MX|BX.WX,2013-S-16,2009,2009,19/09/2013,03/11/2013,NA,NA,HATCH,75918,60959,2,2,11/09/2013,19/09/2013,15/10/2013,0,3,16/10/2013,02/11/2013,NA,NA,NA,16/10/2013,02/11/2013,02/11/2013,NA,15/10/2013,6.5,17.7,5.63,16/10/2013,7.1,19.6,6.95,NA,NA,NA,NA,19.6,16/10/2013,0.977777778,16/10/2013,20/09/2013,15/10/2013,11/09/2013,9.022222222,19/09/2013,03/11/2013
338,2013,S,17,CA3065,XX.XX|XX.XX,NA,NA,NA,M,M,no,F,NA,no,NA,NA,MX.WX|GX.WX,2013-S-17,2010,2010,12/09/2013,11/10/2013,NA,NA,DISAPPEARED,76976,60292,0,3,18/09/2013,20/09/2013,30/09/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/09/2013,NA,12/09/2013,11/10/2013
339,2013,S,20,CA3058,NA,NA,NA,NA,M,M,no,F,NA,no,NA,NA,MX.WX|BX.WX,2013-S-20,2010,2010,17/09/2013,14/11/2013,NA,NA,DISAPPEARED,77152,60249,0,2,NA,26/09/2013,30/09/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/09/2013,14/11/2013
340,2013,S,201,CA3616,CA3772,NA,NA,NA,M,NA,no,F,NA,no,NA,NA,OX.MX|GX.BX,2013-S-201,2010,2010,17/09/2013,06/11/2013,NA,NA,DISAPPEARED,75900,61113,0,3,19/09/2013,24/09/2013,25/09/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/09/2013,NA,17/09/2013,06/11/2013
341,2013,S,204,CA3058,CA3458,CA3856,NA,NA,M,M,no,F,F,no,NA,NA,MX.WX|BX.WX,2013-S-204,2010,2010,17/09/2013,14/11/2013,NA,NA,HATCH,77130,60262,1,2,11/10/2013,08/10/2013,31/10/2013,2,13,31/10/2013,10/12/2013,NA,NA,NA,31/10/2013,10/12/2013,10/12/2013,NA,31/10/2013,7.4,20.2,7.67,NA,NA,NA,NA,NA,NA,NA,NA,20.2,31/10/2013,2.311111111,31/10/2013,03/10/2013,28/10/2013,11/10/2013,-7.311111111,17/09/2013,10/12/2013
342,2013,S,206,CA3077,CA3697,CA3863,CA3864,NA,M,M,yes,F,NA,no,NA,NA,MX.GX|YX.GX,2013-S-206,2013,2010,26/11/2013,26/11/2013,17/10/2013,17/10/2013,HATCH,77540,60160,2,3,12/10/2013,08/10/2013,09/11/2013,1,5,07/11/2013,26/11/2013,NA,NA,NA,07/11/2013,26/11/2013,12/11/2013,17/11/2013,07/11/2013,6.6,18.8,5.73,07/11/2013,6.1,17.7,5.75,NA,NA,NA,NA,18.8,07/11/2013,-0.8,07/11/2013,13/10/2013,07/11/2013,12/10/2013,1,17/10/2013,26/11/2013
343,2013,S,22,CA3809,CA3095,CA3829,NA,NA,M,NA,yes,F,NA,yes,NA,NA,MX.BX|RX.WX,2013-S-22,2013,2013,03/10/2013,19/11/2013,27/09/2013,27/09/2013,HATCH,75956,60510,1,2,22/09/2013,27/09/2013,21/10/2013,0,6,21/10/2013,09/11/2013,NA,NA,NA,21/10/2013,09/11/2013,24/10/2013,28/10/2013,21/10/2013,6.6,19.8,6.6,NA,NA,NA,NA,NA,NA,NA,NA,19.8,21/10/2013,1.422222222,21/10/2013,24/09/2013,19/10/2013,22/09/2013,2.577777778,27/09/2013,19/11/2013
344,2013,S,24,CA3183,CA3659,NA,NA,NA,M,NA,no,F,F,yes,NA,NA,OX.MX|LX.LX,2013-S-24,2012,2012,15/09/2013,27/10/2013,NA,NA,DISAPPEARED,75947,61064,0,3,23/09/2013,01/10/2013,13/10/2013,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23/09/2013,NA,15/09/2013,27/10/2013
